Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
توت أسود قزمي (Blackberry - Dwarf),0.73,Winter,16-22,large,Full sun,Sandy,Regular watering,"Water at base, not foliage",730,Medium (60%),Aromatic and refreshing scent
كريز جبلي (Cherry - Highland),2.24,Winter,14-32,medium,Indirect light,Well-drained,Support stems/trellis,Protect from frost,2240,Medium-Fast (70%),Helps prevent chronic diseases
عنب ملكي (Grape - Royal),1.83,Autumn,16-33,ground,Partial shade,Loamy,Mulch to retain moisture,Keep soil evenly moist,1830,Slow (40%),High in vitamin C and antioxidants
توت أزرق حامضي (Blueberry - Tart),2.18,Spring,Oct-32,ground,Partial shade,Loamy,Support stems/trellis,Avoid overwatering,2180,Fast (80%),Contains beneficial natural sugars
كيوي بري (Kiwi - Wild),2.19,Summer,17-25,large,Partial shade,Loamy,Deadhead spent blooms,Avoid overwatering,2190,Fast (80%),Purify air and absorb pollutants
أفوكادو صيفي (Avocado - Summer),0.39,Winter,13-35,large,Indirect light,Clay,Deadhead spent blooms,Keep soil evenly moist,390,Medium-Fast (70%),Adds natural beauty to gardens
مانجو قزمي (Mango - Dwarf),0.71,Spring,Dec-24,large,Full sun,Loamy,Fertilize monthly,Trim regularly for shape,710,Slow (40%),Boosts immunity and improves skin health
تفاح ربيعي (Apple - Spring),0.91,Autumn,15-26,ground,Indirect light,Sandy loam,Regular watering,Trim regularly for shape,910,Medium-Fast (70%),Boosts immunity and improves skin health
كمثرى حامضي (Pear - Tart),2.31,Autumn,16-35,large,Partial shade,Sandy loam,Support stems/trellis,Avoid overwatering,2310,Fast (80%),Boosts immunity and improves skin health
كريز كرزي (Cherry - Cherry),2.74,Winter,13-23,medium,Full sun,Sandy,Deadhead spent blooms,Keep soil evenly moist,2740,Medium-Fast (70%),Contains beneficial natural sugars
جوافة صيفي (Guava - Summer),2.08,Winter,17-29,large,Indirect light,Clay,Deadhead spent blooms,Keep soil evenly moist,2080,Medium (60%),Provides hydration and natural energy
أفوكادو حامضي (Avocado - Tart),1.72,Summer,Oct-32,medium,Partial shade,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,1720,Slow (40%),Enhance biodiversity and store carbon
مانجو جبلي (Mango - Highland),1.14,Spring,Dec-26,ground,Full sun,Well-drained,Deadhead spent blooms,Keep soil evenly moist,1140,Medium-Fast (70%),Provides hydration and natural energy
أناناس ذهبي (Pineapple - Golden),0.36,Autumn,16-22,ground,Partial shade,Sandy loam,Fertilize monthly,"Water at base, not foliage",360,Fast (80%),Contains beneficial natural sugars
تفاح حامضي (Apple - Tart),1.69,Autumn,14-23,medium,Partial shade,Loamy,Support stems/trellis,Keep soil evenly moist,1690,Slow (40%),Provides hydration and natural energy
توت أزرق عملاق (Blueberry - Giant),1.47,Winter,Dec-35,large,Full sun,Loamy,Support stems/trellis,Protect from frost,1470,Medium (60%),Helps prevent chronic diseases
شمام ربيعي (Cantaloupe - Spring),0.88,Winter,Oct-25,large,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,880,Slow (40%),Used in traditional herbal medicine
فراولة ذهبي (Strawberry - Golden),0.65,Spring,18-26,ground,Partial shade,Clay,Mulch to retain moisture,Avoid overwatering,650,Fast (80%),High in vitamin C and antioxidants
أفوكادو ربيعي (Avocado - Spring),2.51,Autumn,15-22,medium,Indirect light,Clay,Regular watering,Avoid overwatering,2510,Medium-Fast (70%),Contains beneficial natural sugars
خوخ عملاق (Peach - Giant),2.75,Winter,14-27,medium,Partial shade,Clay,Deadhead spent blooms,"Water at base, not foliage",2750,Slow (40%),Helps prevent chronic diseases
مانجو حامضي (Mango - Tart),2.03,Winter,14-29,large,Indirect light,Well-drained,Deadhead spent blooms,Trim regularly for shape,2029,Medium-Fast (70%),High in vitamin C and antioxidants
كمثرى ربيعي (Pear - Spring),1.91,Spring,Dec-24,ground,Full sun,Well-drained,Fertilize monthly,Keep soil evenly moist,1910,Medium-Fast (70%),Contains beneficial natural sugars
كمثرى قزمي (Pear - Dwarf),2.91,Spring,Nov-36,ground,Full sun,Loamy,Mulch to retain moisture,Protect from frost,2910,Medium (60%),Helps prevent chronic diseases
جوافة أحمر لامع (Guava - Crimson),2.71,Winter,18-28,large,Full sun,Loamy,Fertilize monthly,Trim regularly for shape,2710,Medium-Fast (70%),Provide shade and cool the environment
تين سكّرية (Fig - Sugary),1.8,Summer,15-22,ground,Full sun,Well-drained,Mulch to retain moisture,Avoid overwatering,1800,Medium-Fast (70%),Helps prevent chronic diseases
شمام ذهبي (Cantaloupe - Golden),1.8,Spring,Dec-29,medium,Indirect light,Well-drained,Support stems/trellis,Keep soil evenly moist,1800,Medium (60%),Fix nitrogen and enrich soil fertility
شمام كرزي (Cantaloupe - Cherry),1.77,Spring,15-33,medium,Partial shade,Clay,Fertilize monthly,Protect from frost,1770,Fast (80%),Contains beneficial natural sugars
أناناس أحمر لامع (Pineapple - Crimson),0.83,Spring,18-32,large,Full sun,Sandy loam,Support stems/trellis,Keep soil evenly moist,830,Slow (40%),High in vitamin C and antioxidants
شمام ملكي (Cantaloupe - Royal),1.61,Summer,19-22,ground,Partial shade,Clay,Fertilize monthly,"Water at base, not foliage",1610,Medium-Fast (70%),Support heart health and lower cholesterol
كريز قزمي (Cherry - Dwarf),1.69,Autumn,15-23,ground,Indirect light,Clay,Regular watering,Trim regularly for shape,1690,Fast (80%),Provides hydration and natural energy
توت أسود ذهبي (Blackberry - Golden),0.81,Winter,17-24,large,Indirect light,Sandy,Regular watering,Protect from frost,810,Medium (60%),Prevent soil erosion and retain moisture
كريز عطري (Cherry - Aromatic),2.88,Summer,Oct-24,ground,Full sun,Sandy,Fertilize monthly,Trim regularly for shape,2880,Medium-Fast (70%),Contains beneficial natural sugars
خوخ ربيعي (Peach - Spring),1.82,Spring,15-23,medium,Indirect light,Sandy loam,Fertilize monthly,Protect from frost,1820,Medium-Fast (70%),Boosts immunity and improves skin health
برتقال حامضي (Orange - Tart),1,Summer,18-33,medium,Partial shade,Sandy,Regular watering,"Water at base, not foliage",1000,Slow (40%),High in vitamin C and antioxidants
عنب أحمر لامع (Grape - Crimson),2.71,Spring,20-29,ground,Partial shade,Sandy,Deadhead spent blooms,Keep soil evenly moist,2710,Fast (80%),High in vitamin C and antioxidants
برتقال جبلي (Orange - Highland),2.02,Spring,Nov-28,ground,Indirect light,Well-drained,Mulch to retain moisture,Protect from frost,2020,Medium-Fast (70%),Helps prevent chronic diseases
أفوكادو جبلي (Avocado - Highland),0.83,Autumn,17-30,large,Full sun,Sandy,Mulch to retain moisture,Protect from frost,830,Slow (40%),Support ecosystems and reduce global warming
عنب صيفي (Grape - Summer),0.49,Spring,Oct-22,ground,Indirect light,Sandy loam,Support stems/trellis,"Water at base, not foliage",490,Slow (40%),High in vitamin C and antioxidants
خوخ عسلي (Peach - Honey),2.02,Winter,19-26,ground,Partial shade,Sandy,Mulch to retain moisture,Avoid overwatering,2020,Fast (80%),Contains beneficial natural sugars
جوافة كرزي (Guava - Cherry),2.95,Autumn,18-22,medium,Full sun,Clay,Support stems/trellis,Protect from frost,2950,Fast (80%),Contains beneficial natural sugars
كمثرى أحمر لامع (Pear - Crimson),1.64,Spring,Nov-36,large,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,1640,Fast (80%),Helps prevent chronic diseases
برتقال قزمي (Orange - Dwarf),0.63,Winter,15-34,ground,Partial shade,Sandy loam,Deadhead spent blooms,"Water at base, not foliage",630,Medium (60%),Boosts immunity and improves skin health
فراولة صيفي (Strawberry - Summer),2.72,Spring,16-24,ground,Full sun,Well-drained,Regular watering,Keep soil evenly moist,2720,Medium (60%),Provides hydration and natural energy
تفاح ملكي (Apple - Royal),0.32,Spring,17-29,large,Indirect light,Sandy,Support stems/trellis,Keep soil evenly moist,320,Medium (60%),Contains beneficial natural sugars
ليمون ذهبي (Lemon - Golden),2.52,Summer,17-23,medium,Partial shade,Sandy,Mulch to retain moisture,Keep soil evenly moist,2520,Slow (40%),Contains beneficial natural sugars
رمان كرزي (Pomegranate - Cherry),0.67,Winter,18-31,medium,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,670,Medium (60%),Helps prevent chronic diseases
بطيخ ملكي (Watermelon - Royal),1.83,Summer,18-33,ground,Partial shade,Sandy,Support stems/trellis,Keep soil evenly moist,1830,Medium (60%),Helps prevent chronic diseases
مانجو استوائي (Mango - Tropical),0.44,Winter,Nov-26,medium,Partial shade,Sandy loam,Deadhead spent blooms,Trim regularly for shape,440,Medium (60%),Contains beneficial natural sugars
توت أزرق استوائي (Blueberry - Tropical),0.62,Autumn,20-23,medium,Full sun,Sandy loam,Fertilize monthly,Protect from frost,620,Medium-Fast (70%),Provides hydration and natural energy
توت أسود حامضي (Blackberry - Tart),2.3,Autumn,20-27,medium,Full sun,Clay,Regular watering,Trim regularly for shape,2300,Medium-Fast (70%),Enhance biodiversity and store carbon
برتقال استوائي (Orange - Tropical),2.65,Autumn,17-31,large,Indirect light,Well-drained,Mulch to retain moisture,Keep soil evenly moist,2650,Medium-Fast (70%),High in vitamin C and antioxidants
أناناس عملاق (Pineapple - Giant),1.18,Winter,Oct-26,ground,Indirect light,Clay,Support stems/trellis,Trim regularly for shape,1180,Medium (60%),Boosts immunity and improves skin health
رمان عطري (Pomegranate - Aromatic),2.33,Spring,19-31,medium,Full sun,Loamy,Regular watering,Keep soil evenly moist,2330,Fast (80%),Used in traditional herbal medicine
مانجو صيفي (Mango - Summer),1.82,Spring,19-22,large,Full sun,Sandy,Deadhead spent blooms,Protect from frost,1820,Slow (40%),Provides hydration and natural energy
أناناس حامضي (Pineapple - Tart),1.29,Autumn,Nov-30,medium,Partial shade,Loamy,Support stems/trellis,Protect from frost,1290,Fast (80%),Contains beneficial natural sugars
عنب جبلي (Grape - Highland),1.55,Winter,14-27,large,Full sun,Clay,Deadhead spent blooms,Trim regularly for shape,1550,Medium-Fast (70%),High in vitamin C and antioxidants
كيوي ملكي (Kiwi - Royal),0.64,Winter,18-24,medium,Full sun,Well-drained,Fertilize monthly,Protect from frost,640,Medium (60%),Soothing and antimicrobial properties
عنب خريفي (Grape - Autumn),0.79,Winter,15-26,large,Partial shade,Sandy,Regular watering,Trim regularly for shape,790,Medium (60%),Helps prevent chronic diseases
تفاح قزمي (Apple - Dwarf),2.54,Autumn,Dec-32,ground,Full sun,Clay,Regular watering,"Water at base, not foliage",2540,Medium (60%),High in vitamin C and antioxidants
توت أزرق ملكي (Blueberry - Royal),2.9,Autumn,Nov-26,large,Partial shade,Sandy,Regular watering,Avoid overwatering,2900,Slow (40%),Contains beneficial natural sugars
بطيخ عسلي (Watermelon - Honey),2.93,Summer,16-32,large,Indirect light,Loamy,Deadhead spent blooms,Trim regularly for shape,2930,Slow (40%),Support ecosystems and reduce global warming
كيوي ربيعي (Kiwi - Spring),0.48,Summer,18-36,ground,Indirect light,Sandy loam,Support stems/trellis,Protect from frost,480,Medium (60%),Provides hydration and natural energy
مانجو أحمر لامع (Mango - Crimson),2.66,Winter,14-22,large,Full sun,Clay,Support stems/trellis,Keep soil evenly moist,2660,Slow (40%),High in vitamin C and antioxidants
بطيخ عملاق (Watermelon - Giant),1.32,Autumn,15-32,ground,Full sun,Sandy loam,Regular watering,Protect from frost,1320,Slow (40%),Promote satiety and support weight control
بطيخ خريفي (Watermelon - Autumn),1.79,Summer,13-31,ground,Indirect light,Well-drained,Deadhead spent blooms,Avoid overwatering,1790,Medium (60%),Provide shade and cool the environment
خوخ جبلي (Peach - Highland),1.08,Summer,Oct-26,medium,Indirect light,Well-drained,Fertilize monthly,Keep soil evenly moist,1080,Slow (40%),Provides hydration and natural energy
كريز حامضي (Cherry - Tart),1.93,Spring,14-27,ground,Partial shade,Loamy,Deadhead spent blooms,Trim regularly for shape,1930,Slow (40%),Contains beneficial natural sugars
عنب قزمي (Grape - Dwarf),1.1,Spring,18-35,ground,Partial shade,Clay,Deadhead spent blooms,Keep soil evenly moist,1100,Medium-Fast (70%),Boosts immunity and improves skin health
شمام حامضي (Cantaloupe - Tart),2.95,Autumn,14-27,medium,Partial shade,Well-drained,Deadhead spent blooms,Avoid overwatering,2950,Medium-Fast (70%),Contains antioxidants that reduce inflammation
برتقال خريفي (Orange - Autumn),0.93,Autumn,15-24,large,Full sun,Clay,Mulch to retain moisture,Avoid overwatering,930,Medium (60%),High in vitamin C and antioxidants
رمان ممتاز (Pomegranate - Prime),0.67,Spring,16-34,medium,Indirect light,Well-drained,Fertilize monthly,"Water at base, not foliage",670,Slow (40%),High in vitamin C and antioxidants
كريز سكّرية (Cherry - Sugary),1.91,Summer,15-28,medium,Indirect light,Sandy,Fertilize monthly,Keep soil evenly moist,1910,Medium-Fast (70%),Provides hydration and natural energy
أناناس ملكي (Pineapple - Royal),2.4,Winter,17-32,ground,Partial shade,Well-drained,Support stems/trellis,Keep soil evenly moist,2400,Medium-Fast (70%),Contains beneficial natural sugars
تين ذهبي (Fig - Golden),2.49,Winter,14-35,large,Indirect light,Clay,Fertilize monthly,"Water at base, not foliage",2490,Fast (80%),Provides hydration and natural energy
تين عسلي (Fig - Honey),3,Winter,15-29,large,Partial shade,Sandy loam,Deadhead spent blooms,Trim regularly for shape,3000,Fast (80%),High in vitamin C and antioxidants
مانجو عملاق (Mango - Giant),0.79,Winter,15-34,large,Full sun,Sandy,Support stems/trellis,"Water at base, not foliage",790,Medium (60%),Contains beneficial natural sugars
تين حامضي (Fig - Tart),1.56,Winter,13-25,ground,Partial shade,Loamy,Support stems/trellis,Trim regularly for shape,1560,Fast (80%),Boosts immunity and improves skin health
مانجو بري (Mango - Wild),2.31,Winter,Oct-30,medium,Indirect light,Sandy,Fertilize monthly,Trim regularly for shape,2310,Slow (40%),Helps prevent chronic diseases
عنب ذهبي (Grape - Golden),2.93,Summer,20-29,large,Indirect light,Sandy,Deadhead spent blooms,Protect from frost,2930,Medium-Fast (70%),Provides hydration and natural energy
بطيخ صيفي (Watermelon - Summer),2.3,Spring,18-29,large,Indirect light,Well-drained,Deadhead spent blooms,Avoid overwatering,2300,Medium-Fast (70%),Some species purify indoor air
إبرة الراعي قزمي (Geranium - Dwarf),0.81,Autumn,13-34,medium,Indirect light,Clay,Regular watering,Avoid overwatering,810,Medium (60%),Contains antioxidants that reduce inflammation
بتونيا مبكر (Petunia - Early),2.39,Autumn,19-22,medium,Indirect light,Loamy,Deadhead spent blooms,"Water at base, not foliage",2390,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
أوركيد أزرق (Orchid - Blue),0.76,Spring,18-29,medium,Full sun,Well-drained,Mulch to retain moisture,Keep soil evenly moist,760,Medium-Fast (70%),Attracts pollinators and supports biodiversity
كاميليا مبكر (Camellia - Early),1.23,Autumn,19-27,medium,Indirect light,Sandy,Support stems/trellis,Protect from frost,1230,Medium (60%),Boosts immunity and improves skin health
داليا فاتح (Dahlia - Light),1.39,Winter,16-27,ground,Partial shade,Sandy loam,Regular watering,Avoid overwatering,1390,Fast (80%),Some species purify indoor air
قرنفل أصفر (Carnation - Yellow),2.62,Autumn,Nov-27,ground,Full sun,Well-drained,Support stems/trellis,Keep soil evenly moist,2620,Slow (40%),Attracts pollinators and supports biodiversity
أنيمون داكن (Anemone - Deep),2.17,Summer,18-30,ground,Indirect light,Sandy loam,Mulch to retain moisture,"Water at base, not foliage",2170,Slow (40%),Used in traditional herbal medicine
أنيمون فاتح (Anemone - Light),1.92,Spring,Nov-22,ground,Partial shade,Well-drained,Regular watering,Avoid overwatering,1920,Medium-Fast (70%),Promote satiety and support weight control
قرنفل عطري (Carnation - Fragrant),0.44,Summer,Nov-35,large,Indirect light,Sandy loam,Deadhead spent blooms,"Water at base, not foliage",440,Medium-Fast (70%),Some species purify indoor air
لافندر مخطط (Lavender - Striped),0.95,Spring,Nov-27,ground,Partial shade,Sandy,Support stems/trellis,Avoid overwatering,950,Medium (60%),Used in perfumes and decoration
ياسمين عطري (Jasmine - Fragrant),1.45,Autumn,15-28,ground,Partial shade,Loamy,Regular watering,Trim regularly for shape,1450,Slow (40%),Improves mood and well-being
ورد منقط (Rose - Speckled),2.01,Autumn,19-24,medium,Partial shade,Loamy,Regular watering,"Water at base, not foliage",2009,Slow (40%),Some species purify indoor air
غاردينيا مبكر (Gardenia - Early),1.67,Summer,Oct-30,ground,Partial shade,Sandy,Regular watering,Trim regularly for shape,1670,Medium-Fast (70%),Promote satiety and support weight control
غاردينيا أبيض ناصع (Gardenia - Pure White),1.4,Summer,Dec-27,ground,Full sun,Sandy loam,Fertilize monthly,Trim regularly for shape,1400,Medium-Fast (70%),Low in calories and ideal for diets
ورد عطري (Rose - Fragrant),1.79,Autumn,20-24,ground,Partial shade,Clay,Mulch to retain moisture,"Water at base, not foliage",1790,Fast (80%),Used in perfumes and decoration
أوركيد أبيض ناصع (Orchid - Pure White),2.32,Autumn,20-35,ground,Indirect light,Well-drained,Support stems/trellis,Protect from frost,2320,Medium-Fast (70%),Adds natural beauty to gardens
ورد عملاق (Rose - Giant),0.91,Winter,Dec-29,ground,Indirect light,Sandy loam,Mulch to retain moisture,Trim regularly for shape,910,Slow (40%),Some species purify indoor air
أنيمون منقط (Anemone - Speckled),0.52,Spring,Nov-35,ground,Indirect light,Sandy,Deadhead spent blooms,"Water at base, not foliage",520,Medium-Fast (70%),Used in cooking as natural seasoning
بتونيا فاتح (Petunia - Light),0.76,Winter,Dec-33,large,Partial shade,Clay,Regular watering,"Water at base, not foliage",760,Fast (80%),Provides hydration and natural energy
ياسمين منقط (Jasmine - Speckled),2.83,Autumn,Dec-24,ground,Partial shade,Sandy,Support stems/trellis,Trim regularly for shape,2830,Slow (40%),Attracts pollinators and supports biodiversity
أنيمون مخملي (Anemone - Velvet),1.81,Winter,13-35,ground,Indirect light,Sandy loam,Fertilize monthly,Keep soil evenly moist,1810,Fast (80%),Support ecosystems and reduce global warming
تيوليب مخطط (Tulip - Striped),2.58,Winter,18-24,large,Partial shade,Well-drained,Fertilize monthly,Avoid overwatering,2580,Slow (40%),Improves mood and well-being
بتونيا أصفر (Petunia - Yellow),1.29,Winter,Nov-29,medium,Indirect light,Clay,Mulch to retain moisture,Keep soil evenly moist,1290,Medium (60%),Used in traditional herbal medicine
قرنفل وردي (Carnation - Pink),1.59,Spring,Nov-31,ground,Partial shade,Clay,Regular watering,Trim regularly for shape,1590,Medium-Fast (70%),Attracts pollinators and supports biodiversity
ورد مزدوج (Rose - Double),2.76,Spring,Oct-34,large,Partial shade,Well-drained,Deadhead spent blooms,Avoid overwatering,2760,Slow (40%),Attracts pollinators and supports biodiversity
لافندر مخملي (Lavender - Velvet),0.37,Autumn,19-34,medium,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,370,Slow (40%),Attracts pollinators and supports biodiversity
داليا عطري (Dahlia - Fragrant),0.86,Spring,20-29,medium,Indirect light,Well-drained,Fertilize monthly,Keep soil evenly moist,860,Fast (80%),Attracts pollinators and supports biodiversity
بوانسيانا أرجواني (Poinciana - Purple),2.29,Autumn,Nov-22,ground,Partial shade,Clay,Mulch to retain moisture,Avoid overwatering,2290,Medium-Fast (70%),High in vitamin C and antioxidants
غاردينيا أزرق (Gardenia - Blue),0.66,Summer,16-24,large,Partial shade,Sandy loam,Regular watering,Keep soil evenly moist,660,Slow (40%),Prevent soil erosion and retain moisture
زنبق مخطط (Lily - Striped),1.33,Autumn,Nov-31,medium,Partial shade,Well-drained,Fertilize monthly,Protect from frost,1330,Slow (40%),Used in perfumes and decoration
بوانسيانا عطري (Poinciana - Fragrant),1.11,Winter,20-34,ground,Full sun,Well-drained,Regular watering,Avoid overwatering,1110,Medium-Fast (70%),Aromatic and refreshing scent
قرنفل فاتح (Carnation - Light),2.22,Summer,14-27,medium,Full sun,Sandy,Deadhead spent blooms,Avoid overwatering,2220,Medium-Fast (70%),Improves mood and well-being
أقحوان إفريقي عملاق (Gazania - Giant),1.73,Spring,13-23,large,Indirect light,Well-drained,Regular watering,Keep soil evenly moist,1730,Slow (40%),Contains beneficial natural sugars
بتونيا أزرق (Petunia - Blue),2.37,Winter,16-24,medium,Full sun,Sandy loam,Fertilize monthly,Protect from frost,2370,Fast (80%),Support heart health and lower cholesterol
قرنفل متموج (Carnation - Ruffled),1.78,Winter,Oct-29,medium,Full sun,Loamy,Fertilize monthly,Protect from frost,1780,Slow (40%),Some species purify indoor air
إقحوان مبكر (Chrysanthemum - Early),1.13,Spring,20-24,large,Indirect light,Clay,Mulch to retain moisture,Avoid overwatering,1130,Medium (60%),Attracts pollinators and supports biodiversity
داليا مزدوج (Dahlia - Double),2.49,Summer,18-36,large,Partial shade,Loamy,Regular watering,Avoid overwatering,2490,Fast (80%),Adds natural beauty to gardens
أوركيد أصفر (Orchid - Yellow),2.68,Autumn,Dec-31,medium,Full sun,Sandy loam,Regular watering,"Water at base, not foliage",2680,Medium-Fast (70%),Used in perfumes and decoration
إبرة الراعي متسلق (Geranium - Climbing),2.32,Summer,16-31,ground,Partial shade,Loamy,Deadhead spent blooms,Trim regularly for shape,2320,Medium (60%),Used in cooking as natural seasoning
نرجس أزرق (Narcissus - Blue),2.22,Winter,15-32,ground,Indirect light,Well-drained,Deadhead spent blooms,"Water at base, not foliage",2220,Medium-Fast (70%),Support heart health and lower cholesterol
إقحوان متسلق (Chrysanthemum - Climbing),1.92,Winter,Dec-35,medium,Indirect light,Sandy,Regular watering,Protect from frost,1920,Medium-Fast (70%),Attracts pollinators and supports biodiversity
لافندر وردي (Lavender - Pink),0.9,Autumn,17-26,medium,Partial shade,Sandy loam,Mulch to retain moisture,Protect from frost,900,Slow (40%),Improves mood and well-being
أقحوان إفريقي أصفر (Gazania - Yellow),2.14,Winter,Oct-35,ground,Partial shade,Well-drained,Fertilize monthly,"Water at base, not foliage",2140,Medium (60%),High in vitamin C and antioxidants
نرجس مبكر (Narcissus - Early),1.45,Summer,16-23,medium,Full sun,Clay,Regular watering,"Water at base, not foliage",1450,Fast (80%),Good source of minerals and fiber
غاردينيا مخملي (Gardenia - Velvet),0.69,Winter,14-22,medium,Indirect light,Sandy,Regular watering,Avoid overwatering,690,Medium-Fast (70%),Purify air and absorb pollutants
كاميليا مزدوج (Camellia - Double),0.64,Summer,Oct-33,ground,Full sun,Clay,Deadhead spent blooms,Avoid overwatering,640,Medium (60%),Prevent soil erosion and retain moisture
أوركيد فاتح (Orchid - Light),2.84,Summer,17-33,ground,Indirect light,Loamy,Fertilize monthly,Trim regularly for shape,2840,Medium-Fast (70%),Improves mood and well-being
أستر مبكر (Aster - Early),2.81,Summer,13-25,medium,Indirect light,Sandy,Mulch to retain moisture,Avoid overwatering,2810,Medium-Fast (70%),Contains beneficial natural sugars
نرجس مخملي (Narcissus - Velvet),1.76,Autumn,15-22,medium,Full sun,Sandy,Regular watering,Protect from frost,1760,Slow (40%),High in vitamin C and antioxidants
كركديه عملاق (Hibiscus - Giant),2.2,Spring,Oct-34,medium,Full sun,Loamy,Deadhead spent blooms,Trim regularly for shape,2200,Medium (60%),Improves mood and well-being
دوّار الشمس مزدوج (Sunflower - Double),0.47,Spring,Dec-26,ground,Partial shade,Sandy,Regular watering,Trim regularly for shape,470,Slow (40%),Adds natural beauty to gardens
داليا أرجواني (Dahlia - Purple),2.42,Summer,19-26,large,Partial shade,Sandy loam,Mulch to retain moisture,Trim regularly for shape,2420,Fast (80%),Used in perfumes and decoration
ورد أرجواني (Rose - Purple),1.14,Winter,Oct-34,medium,Full sun,Sandy,Mulch to retain moisture,Trim regularly for shape,1140,Fast (80%),Used in perfumes and decoration
نرجس قزمي (Narcissus - Dwarf),0.37,Spring,Nov-26,large,Indirect light,Clay,Regular watering,Trim regularly for shape,370,Medium-Fast (70%),High in plant-based protein
قرنفل منقط (Carnation - Speckled),2.49,Autumn,Nov-36,medium,Partial shade,Sandy loam,Fertilize monthly,Protect from frost,2490,Medium (60%),Adds natural beauty to gardens
إبرة الراعي وردي (Geranium - Pink),1.95,Spring,16-28,large,Full sun,Sandy,Regular watering,Avoid overwatering,1950,Medium (60%),Natural source of fiber for better digestion
كركديه متسلق (Hibiscus - Climbing),2.72,Winter,15-36,large,Full sun,Loamy,Mulch to retain moisture,Protect from frost,2720,Medium (60%),Some species purify indoor air
ياسمين أصفر (Jasmine - Yellow),0.82,Summer,14-33,large,Partial shade,Sandy,Support stems/trellis,"Water at base, not foliage",820,Fast (80%),Some species purify indoor air
نرجس متموج (Narcissus - Ruffled),1.66,Autumn,13-24,ground,Indirect light,Sandy loam,Deadhead spent blooms,Protect from frost,1660,Slow (40%),Contains antioxidants that reduce inflammation
بوانسيانا أبيض ناصع (Poinciana - Pure White),2.51,Summer,Dec-28,large,Full sun,Clay,Mulch to retain moisture,"Water at base, not foliage",2510,Medium-Fast (70%),Used in traditional herbal medicine
تيوليب مبكر (Tulip - Early),0.77,Summer,17-35,ground,Partial shade,Loamy,Fertilize monthly,Trim regularly for shape,770,Medium-Fast (70%),Attracts pollinators and supports biodiversity
نرجس عطري (Narcissus - Fragrant),0.49,Autumn,16-36,large,Full sun,Clay,Regular watering,Keep soil evenly moist,490,Medium (60%),Natural source of fiber for better digestion
إقحوان منقط (Chrysanthemum - Speckled),2,Autumn,14-25,medium,Partial shade,Sandy,Mulch to retain moisture,Protect from frost,2000,Slow (40%),Some species purify indoor air
أستر أصفر (Aster - Yellow),2.73,Spring,18-32,large,Indirect light,Sandy,Deadhead spent blooms,Protect from frost,2730,Slow (40%),Some species purify indoor air
أستر مخطط (Aster - Striped),2.38,Winter,Nov-23,large,Full sun,Sandy,Fertilize monthly,Avoid overwatering,2380,Fast (80%),Adds natural beauty to gardens
أنيمون مبكر (Anemone - Early),0.45,Winter,Dec-36,medium,Indirect light,Sandy,Regular watering,Protect from frost,450,Medium-Fast (70%),Aromatic and refreshing scent
بتونيا عطري (Petunia - Fragrant),1.92,Autumn,Oct-29,large,Partial shade,Sandy loam,Mulch to retain moisture,Avoid overwatering,1920,Fast (80%),Attracts pollinators and supports biodiversity
دوّار الشمس فاتح (Sunflower - Light),2.61,Autumn,16-35,ground,Partial shade,Loamy,Mulch to retain moisture,Protect from frost,2610,Fast (80%),Used in perfumes and decoration
غاردينيا منقط (Gardenia - Speckled),0.39,Spring,Dec-34,medium,Full sun,Well-drained,Regular watering,Keep soil evenly moist,390,Medium (60%),Adds natural beauty to gardens
بتونيا قزمي (Petunia - Dwarf),0.59,Summer,15-22,medium,Partial shade,Well-drained,Mulch to retain moisture,Protect from frost,590,Medium-Fast (70%),Used in perfumes and decoration
إقحوان وردي (Chrysanthemum - Pink),2.51,Spring,15-31,ground,Full sun,Clay,Mulch to retain moisture,"Water at base, not foliage",2510,Slow (40%),Adds natural beauty to gardens
إبرة الراعي مخملي (Geranium - Velvet),1.02,Autumn,17-31,ground,Partial shade,Loamy,Fertilize monthly,"Water at base, not foliage",1020,Slow (40%),Support heart health and lower cholesterol
قرنفل مخطط (Carnation - Striped),1.16,Summer,17-28,medium,Partial shade,Sandy,Fertilize monthly,Trim regularly for shape,1160,Medium-Fast (70%),Adds natural beauty to gardens
دوّار الشمس أرجواني (Sunflower - Purple),2.57,Spring,14-28,large,Partial shade,Well-drained,Deadhead spent blooms,Trim regularly for shape,2570,Medium (60%),Attracts pollinators and supports biodiversity
دوّار الشمس قزمي (Sunflower - Dwarf),2.86,Winter,Dec-29,ground,Full sun,Sandy,Fertilize monthly,Keep soil evenly moist,2860,Medium-Fast (70%),Adds natural beauty to gardens
كركديه أزرق (Hibiscus - Blue),0.6,Spring,17-25,large,Partial shade,Sandy,Deadhead spent blooms,Trim regularly for shape,600,Medium (60%),Some species purify indoor air
